caso_de_uso,versao,caso_de_teste,classificacao,qtd_linhas_alteradas_no_modelo_mais_antigo,alteracoes_detectadas_na_metrica_da_ferramenta,total_linhas_no_modelo_mais_antigo
extracao_em_modo_llt,3,228,1,1,1,98
extracao_em_modo_llt,3,229,1,1,1,98
extracao_em_modo_llt,3,230,1,1,1,98
extracao_em_modo_llt,3,231,1,1,1,98
extracao_em_modo_llt,3,232,1,1,1,98
extracao_em_modo_llt,3,233,1,1,1,98
extracao_em_modo_llt,3,234,1,1,1,98
extracao_em_modo_llt,3,235,1,1,1,98
extracao_em_modo_llt,3,236,1,1,1,98
extracao_em_modo_llt,3,237,1,1,1,98
extracao_em_modo_llt,3,238,1,1,1,98
extracao_em_modo_llt,3,239,1,1,1,98
extracao_em_modo_llt,3,240,1,1,1,98
extracao_em_modo_llt,3,241,1,1,1,98
extracao_em_modo_llt,3,242,1,1,1,98
extracao_em_modo_llt,3,243,1,1,1,98
extracao_em_modo_llt,3,244,1,1,1,98
extracao_em_modo_llt,3,245,1,1,1,98
extracao_em_modo_llt,3,246,1,1,1,98
extracao_em_modo_llt,3,247,1,1,1,98
extracao_em_modo_llt,3,248,1,1,1,98
extracao_em_modo_llt,3,249,1,1,1,98
extracao_em_modo_llt,3,250,1,1,1,98
extracao_em_modo_llt,3,251,1,1,1,98
extracao_em_modo_llt,3,252,1,1,1,98
extracao_em_modo_llt,3,253,1,1,1,98
extracao_em_modo_llt,3,254,1,1,1,98
extracao_em_modo_llt,3,255,1,1,1,98
extracao_em_modo_llt,3,256,1,1,1,98
extracao_em_modo_llt,3,257,1,1,1,98
extracao_em_modo_llt,3,258,1,1,1,98
extracao_em_modo_llt,3,259,1,1,1,98
extracao_em_modo_llt,3,260,1,1,1,98
extracao_em_modo_llt,3,261,1,1,1,98
extracao_em_modo_llt,3,262,1,1,1,98
extracao_em_modo_llt,3,263,1,1,1,98
extracao_em_modo_llt,3,264,1,1,1,98
extracao_em_modo_llt,3,265,1,1,1,98
extracao_em_modo_llt,3,266,1,1,1,98
extracao_em_modo_llt,3,267,1,1,1,98
extracao_em_modo_llt,3,268,1,1,1,98
extracao_em_modo_llt,3,269,1,1,1,98
extracao_em_modo_llt,3,270,1,1,1,98
extracao_em_modo_llt,3,271,1,1,1,98
extracao_em_modo_llt,3,272,2,1,1,98
extracao_em_modo_llt,3,273,1,1,1,98
extracao_em_modo_llt,3,274,1,1,1,98
extracao_em_modo_llt,3,275,1,1,1,98
extracao_em_modo_llt,3,276,1,1,1,98
extracao_em_modo_llt,3,277,1,1,1,98
extracao_em_modo_llt,3,278,1,1,1,98
extracao_em_modo_llt,3,279,1,1,1,98
extracao_em_modo_llt,3,280,1,1,1,98
extracao_em_modo_llt,3,281,1,1,1,98
extracao_em_modo_llt,3,282,1,1,1,98
extracao_em_modo_llt,3,283,1,1,1,98
extracao_em_modo_llt,3,284,1,1,1,98
extracao_em_modo_llt,3,285,1,1,1,98
extracao_em_modo_llt,3,286,1,1,1,98
extracao_em_modo_llt,3,287,1,1,1,98
extracao_em_modo_llt,3,288,1,1,1,98
